						client1			client2
						"{UniqueId:45674,Designation:Employee,Join_Date:19-05-1998,Gender:Male,Age:50,Name:Max Wale}"			"{UniqueId:54912,Designation:Employee,Join_Date:16-05-2000,Gender:Female,Age:38,Name:Elice Foster}"
						"{UniqueId:74912,Designation:CEO,Join_Date:01-12-2005,Gender:Female,Age:32,Name:Jayshree Kadakia}"			"{UniqueId:10054,Designation:Director,Join_Date:11-11-2001,Gender:Male,Age:35,Name:Deepak Mishra}"
						add1			add2
						"{Street:Bandra,City:Mumbai,Pin Code:401153,State:Maharahtra}"			"{Street:Bandra,City:Mumbai,Pin Code:401153,State:Maharahtra}"
						"{Street:Kandivali,City:Mumbai,Pin Code:400893,State:Maharahtra}"			"{Street:Gandhi Nagar,City:Ahmedabad,Pin Code:400063,State:Gujarat}"
						company1			company2
						"{NSE:TATAMOTORS,Email:inv_rel@tatamotors.com,BSE:500570,Sector:Auto,ISIN:INE155A01022,Location:Mumbai,Name:Tata Motors Ltd.}"			"{NSE:HCLTECH,Email:investors@hcl.com,BSE:532281,Sector:IT,ISIN:INE860A01027,Location:Mumbai,Name:HCL Technologies Ltd.}"
						"{NSE:ULTRACEMCO,Email:share.trade@ultra.com,BSE:532538,Sector:Financials,ISIN:INE481G01011,Location:Mumbai,Name:UltraTech Cement Ltd.}"			"{NSE:ULTRACEMCO,Email:share.trade@ultra.com,BSE:532538,Sector:Financials,ISIN:INE481G01011,Location:Mumbai,Name:UltraTech Cement Ltd.}"
						trade1			trade2
						"{Type:Sell,ISIN No:INE860A01031,Volume:41000,Symbol:HCL,Date:""2019-10-21"",Amount:4100100}"			"{Type:Buy,ISIN No:INE124A01038,Volume:36900,Symbol:Individual Shares,Date:""2019-11-02"",Amount:3700000}"
						"{Type:Sell,ISIN No:INE163A01071,Volume:56000,Symbol:Individual Shares,Date:""2019-10-17"",Amount:3600000}"			"{Type:Buy,ISIN No:INE860A01043,Volume:50400,Symbol:HCL,Date:""2019-11-06"",Amount:3750000}"
